WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,Rain,Drizzle,Mist,Fog,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
14739,20120701,54,11,CLR, ,10, , ,,,,, ,77, ,25, ,68, ,19.7, ,62, ,16.7, ,60, ,7, ,270, , , ,29.69, ,1, ,5, ,29.72, ,AA, , , ,29.72, 
14739,20120701,154,11,CLR, ,10, , ,,,,, ,75, ,23.9, ,67, ,19.6, ,63, ,17.2, ,66, ,5, ,250, , , ,29.7, , , , , ,29.72, ,AA, , , ,29.73, 
14739,20120701,254,11,CLR, ,10, , ,,,,, ,74, ,23.3, ,67, ,19.1, ,62, ,16.7, ,66, ,3, ,250, , , ,29.7, , , , , ,29.73, ,AA, , , ,29.73, 
14739,20120701,354,11,FEW130 SCT250, ,10, , ,,,,, ,75, ,23.9, ,66, ,19, ,61, ,16.1, ,62, ,7, ,250, , , ,29.71, ,3, ,7, ,29.74, ,AA, , , ,29.74, 
14739,20120701,454,11,FEW130 SCT300, ,10, , ,,,,, ,77, ,25, ,66, ,19.1, ,60, ,15.6, ,56, ,13, ,280, , , ,29.72, , , , , ,29.75, ,AA, , , ,29.75, 
14739,20120701,554,11,FEW130 SCT180 SCT300, ,10, , ,,,,, ,78, ,25.6, ,67, ,19.3, ,60, ,15.6, ,54, ,9, ,270, , , ,29.74, , , , , ,29.76, ,AA, , , ,29.77, 
14739,20120701,654,11,FEW070 SCT220 SCT300, ,10, , ,,,,, ,79, ,26.1, ,67, ,19.5, ,60, ,15.6, ,52, ,13, ,290, , , ,29.75, ,3, ,13, ,29.78, ,AA, , , ,29.78, 
14739,20120701,754,11,FEW080 SCT095 SCT250, ,10, , ,,,,, ,82, ,27.8, ,68, ,20, ,60, ,15.6, ,47, ,10, ,270, ,23, ,29.75, , , , , ,29.78, ,AA, , , ,29.78, 
14739,20120701,854,11,FEW090 SCT110 SCT250, ,10, , ,,,,, ,86, ,30, ,68, ,19.9, ,57, ,13.9, ,37, ,13, ,290, ,18, ,29.75, , , , , ,29.78, ,AA, , , ,29.78, 
14739,20120701,954,11,FEW095 SCT220 SCT250, ,10, , ,,,,, ,87, ,30.6, ,69, ,20.3, ,58, ,14.4, ,37, ,13, ,260, , , ,29.74, ,8, ,3, ,29.77, ,AA, , , ,29.77, 
