WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,Rain,Drizzle,Mist,Fog,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
14739,20120601,54,11,CLR, ,10, , ,,,,, ,62, ,16.7, ,59, ,15, ,57, ,13.9, ,84, ,8, ,10, , , ,29.92, ,1, ,24, ,29.95, ,AA, , , ,29.95, 
14739,20120601,154,11,BKN060, ,10, , ,,,,, ,62, ,16.7, ,58, ,14.1, ,54, ,12.2, ,75, ,9, ,10, , , ,29.94, , , , , ,29.97, ,AA, , , ,29.97, 
14739,20120601,254,11,BKN080, ,10, , ,,,,, ,61, ,16.1, ,56, ,13.3, ,52, ,11.1, ,72, ,9, ,10, , , ,29.96, , , , , ,29.99, ,AA, , , ,29.99, 
14739,20120601,354,11,BKN080, ,10, , ,,,,, ,60, ,15.6, ,55, ,12.5, ,50, ,10, ,70, ,8, ,30, , , ,29.98, ,3, ,20, ,30.01, ,AA, , , ,30.01, 
14739,20120601,454,11,FEW080, ,10, , ,,,,, ,60, ,15.6, ,55, ,12.5, ,50, ,10, ,70, ,10, ,40, , , ,30, , , , , ,30.03, ,AA, , , ,30.03, 
14739,20120601,554,11,FEW080, ,10, , ,,,,, ,62, ,16.7, ,54, ,12, ,46, ,7.8, ,56, ,11, ,50, , , ,30.02, , , , , ,30.04, ,AA, , , ,30.05, 
14739,20120601,654,11,FEW080 SCT250, ,10, , ,,,,, ,63, ,17.2, ,53, ,11.7, ,44, ,6.7, ,50, ,15, ,50, , , ,30.03, ,1, ,15, ,30.05, ,AA, , , ,30.06, 
14739,20120601,754,11,FEW090 SCT250, ,10, , ,,,,, ,64, ,17.8, ,54, ,12.2, ,45, ,7.2, ,50, ,14, ,60, , , ,30.05, , , , , ,30.08, ,AA, , , ,30.08, 
14739,20120601,854,11,FEW040 SCT250, ,10, , ,,,,, ,63, ,17.2, ,56, ,13.2, ,50, ,10, ,63, ,15, ,80, , , ,30.06, , , , , ,30.09, ,AA, , , ,30.09, 
14739,20120601,954,11,FEW055 BKN250, ,10, , ,,,,, ,64, ,17.8, ,56, ,13.5, ,50, ,10, ,61, ,14, ,80, , , ,30.06, ,1, ,12, ,30.09, ,AA, , , ,30.09, 
14739,20120601,1054,11,FEW055 BKN250, ,10, , ,,,,, ,64, ,17.8, ,55, ,12.7, ,47, ,8.3, ,54, ,14, ,80, , , ,30.06, , , , , ,30.09, ,AA, , , ,30.09, 
14739,20120601,1154,11,FEW060 SCT250, ,10, , ,,,,, ,64, ,17.8, ,55, ,12.5, ,46, ,7.8, ,52, ,13, ,100, , , ,30.06, , , , , ,30.09, ,AA, , , ,30.09, 
14739,20120601,1254,11,FEW060 SCT200 BKN300, ,10, , ,,,,, ,64, ,17.8, ,55, ,12.7, ,47, ,8.3, ,54, ,10, ,110, , , ,30.06, ,8, ,2, ,30.09, ,AA, , , ,30.09, 
14739,20120601,1354,11,FEW060 SCT160 BKN300, ,10, , ,,,,, ,63, ,17.2, ,55, ,13, ,49, ,9.4, ,60, ,13, ,100, , , ,30.05, , , , , ,30.08, ,AA, , , ,30.08, 
14739,20120601,1454,11,FEW060 SCT180 BKN300, ,10, , ,,,,, ,61, ,16.1, ,54, ,12.2, ,48, ,8.9, ,63, ,13, ,110, , , ,30.04, , , , , ,30.07, ,AA, , , ,30.07, 
14739,20120601,1554,11,SCT060 BKN180 OVC300, ,10, , ,,,,, ,61, ,16.1, ,54, ,12, ,47, ,8.3, ,60, ,13, ,100, , , ,30.03, ,8, ,9, ,30.06, ,AA, , , ,30.06, 
14739,20120601,1654,11,FEW070 SCT160 BKN220, ,10, , ,,,,, ,61, ,16.1, ,54, ,12.2, ,48, ,8.9, ,63, ,13, ,110, , , ,30.01, , , , , ,30.04, ,AA, , , ,30.04, 
14739,20120601,1754,11,FEW100 SCT160 BKN220, ,10, , ,,,,, ,59, ,15, ,53, ,11.7, ,48, ,8.9, ,67, ,13, ,130, , , ,30.01, , , , , ,30.03, ,AA, , , ,30.04, 
14739,20120601,1854,11,FEW100 SCT160 OVC220, ,10, , ,,,,, ,59, ,15, ,52, ,11.2, ,46, ,7.8, ,62, ,13, ,130, , , ,30, ,6, ,9, ,30.03, ,AA, , , ,30.03, 
14739,20120601,1954,11,FEW100 BKN160 OVC220, ,10, , ,,,,, ,59, ,15, ,52, ,11.2, ,46, ,7.8, ,62, ,10, ,140, , , ,30.02, , , , , ,30.05, ,AA, , , ,30.05, 
14739,20120601,2054,11,FEW100 BKN160 OVC220, ,10, , ,,,,, ,59, ,15, ,52, ,11.2, ,46, ,7.8, ,62, ,8, ,140, , , ,30.03, , , , , ,30.05, ,AA, , , ,30.06, 
14739,20120601,2154,11,SCT140 OVC220, ,10, , ,,,,, ,58, ,14.4, ,52, ,11.2, ,47, ,8.3, ,67, ,10, ,140, , , ,30.01, ,0, ,3, ,30.04, ,AA, , , ,30.04, 
14739,20120601,2254,11,SCT120 OVC220, ,10, , ,,,,, ,58, ,14.4, ,52, ,11.2, ,47, ,8.3, ,67, ,10, ,120, , , ,30, , , , , ,30.02, ,AA, , , ,30.03, 
14739,20120601,2354,11,FEW050 SCT120 BKN220, ,10, , ,,,,, ,58, ,14.4, ,53, ,11.5, ,48, ,8.9, ,70, ,10, ,130, , , ,29.98, , , , , ,30.01, ,AA, , , ,30.01, 
14739,20120602,54,11,FEW050 SCT090 BKN120, ,10, , ,,,,, ,57, ,13.9, ,53, ,11.5, ,49, ,9.4, ,75, ,11, ,130, , , ,29.96, ,8, ,17, ,29.99, ,AA, , , ,29.99, 
14739,20120602,154,11,OVC065, ,10, , ,,,,, ,58, ,14.4, ,54, ,12, ,50, ,10, ,75, ,20, ,110, , , ,29.93, , , , , ,29.96, ,AA, , , ,29.96, 
14739,20120602,254,11,OVC060, ,10, , ,,,,, ,58, ,14.4, ,55, ,12.6, ,52, ,11.1, ,81, ,17, ,120, , , ,29.9, , , , , ,29.93, ,AA, , , ,29.93, 
14739,20120602,354,11,FEW025 OVC055, ,10, , ,,,,, ,58, ,14.4, ,54, ,12.3, ,51, ,10.6, ,78, ,18, ,110, , , ,29.88, ,6, ,27, ,29.91, ,AA, , , ,29.91, 
14739,20120602,454,11,FEW014 OVC050, ,10, , ,,,,, ,58, ,14.4, ,54, ,12.3, ,51, ,10.6, ,78, ,14, ,120, , , ,29.89, , , , , ,29.91, ,AA, , , ,29.92, 
14739,20120602,554,11,OVC041, ,5, ,RA,1,,,, ,56, ,13.3, ,53, ,11.8, ,51, ,10.6, ,83, ,16, ,120, , , ,29.89, , , , , ,29.92, ,AA, ,0.08, ,29.92, 
14739,20120602,623,11,SCT013 BKN019 OVC039, ,2.5, ,RA BR,1,,1,, ,55, ,13, ,53, ,11.8, ,52, ,11, ,90, ,13, ,110, , , ,29.88, , , , , ,M, ,SP, , , ,29.91, 
14739,20120602,633,11,FEW013 SCT019 OVC037, ,3, ,RA BR,1,,1,, ,55, ,13, ,53, ,11.8, ,52, ,11, ,90, ,20, ,110, , , ,29.87, , , , , ,M, ,SP, , , ,29.9, 
14739,20120602,654,11,FEW013 OVC033, ,3, ,-RA,1,,,, ,56, ,13.3, ,54, ,12.1, ,52, ,11.1, ,87, ,21, ,110, ,25, ,29.87, ,8, ,3, ,29.9, ,AA, ,0.12, ,29.9, 
14739,20120602,720,11,SCT013 SCT018 OVC027, ,3, ,-RA BR,1,,1,, ,55, ,13, ,54, ,12.4, ,54, ,12, ,96, ,20, ,110, , , ,29.86, , , , , ,M, ,SP, , , ,29.89, 
14739,20120602,754,11,SCT016 OVC020, ,3, ,-RA BR,1,,1,, ,56, ,13.3, ,54, ,12.4, ,53, ,11.7, ,90, ,23, ,110, ,29, ,29.86, , , , , ,29.88, ,AA, ,0.07, ,29.89, 
14739,20120602,816,11,OVC013, ,3, ,RA BR,1,,1,, ,57, ,14, ,55, ,12.9, ,54, ,12, ,90, ,23, ,100, , , ,29.83, , , , , ,M, ,SP, , , ,29.86, 
14739,20120602,839,11,OVC009, ,2.5, ,RA BR,1,,1,, ,57, ,14, ,56, ,13.2, ,55, ,13, ,93, ,24, ,110, ,30, ,29.82, , , , , ,M, ,SP, , , ,29.85, 
14739,20120602,851,11,OVC009, ,1.25, ,+RA BR,1,,1,, ,57, ,14, ,56, ,13.2, ,55, ,13, ,93, ,21, ,100, ,28, ,29.83, , , , , ,M, ,SP, , , ,29.86, 
14739,20120602,854,11,OVC009, ,1, ,+RA BR,1,,1,, ,57, ,13.9, ,56, ,13.2, ,55, ,12.8, ,93, ,21, ,100, , , ,29.83, , , , , ,29.85, ,AA, ,0.21, ,29.86, 
14739,20120602,944,11,OVC007, ,2, ,-RA BR,1,,1,, ,57, ,14, ,56, ,13.2, ,55, ,13, ,93, ,17, ,90, , , ,29.82, , , , , ,M, ,SP, , , ,29.85, 
14739,20120602,954,11,OVC007, ,2, ,RA BR,1,,1,, ,58, ,14.4, ,57, ,13.8, ,56, ,13.3, ,93, ,18, ,90, , , ,29.82, ,6, ,13, ,29.85, ,AA, ,0.21, ,29.85, 
14739,20120602,1054,11,OVC006, ,2, ,BR,,,1,, ,59, ,15, ,58, ,14.3, ,57, ,13.9, ,93, ,22, ,110, , , ,29.8, , , , , ,29.83, ,AA, ,  T, ,29.83, 
14739,20120602,1154,11,OVC006, ,2, ,-RA BR,1,,1,, ,59, ,15, ,58, ,14.6, ,58, ,14.4, ,97, ,21, ,100, , , ,29.78, , , , , ,29.81, ,AA, ,0.02, ,29.81, 
14739,20120602,1220,11,OVC006, ,1.5, ,+RA BR,1,,1,, ,61, ,16, ,59, ,14.8, ,57, ,14, ,87, ,18, ,110, , , ,29.78, , , , , ,M, ,SP, , , ,29.81, 
