WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,Rain,Drizzle,Mist,Fog,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
14739,20120501,54,11,BKN090 OVC200, ,10, , ,,,,, ,50, ,10, ,43, ,6.2, ,35, ,1.7, ,57, ,14, ,200, , , ,30.19, ,6, ,7, ,30.21, ,AA, , , ,30.22, 
14739,20120501,154,11,BKN090 OVC200, ,10, , ,,,,, ,50, ,10, ,43, ,6.2, ,35, ,1.7, ,57, ,10, ,190, , , ,30.18, , , , , ,30.2, ,AA, ,  T, ,30.21, 
14739,20120501,254,11,SCT060 OVC090, ,10, , ,,,,, ,49, ,9.4, ,43, ,5.9, ,35, ,1.7, ,59, ,9, ,190, , , ,30.17, , , , , ,30.2, ,AA, , , ,30.2, 
14739,20120501,354,11,OVC060, ,10, ,#NAME?,1,,,, ,47, ,8.3, ,43, ,5.8, ,37, ,2.8, ,68, ,10, ,190, , , ,30.18, ,5, ,2, ,30.21, ,AA, ,0.02,s,30.21, 
14739,20120501,454,11,BKN050 OVC080, ,8, , ,,,,, ,46, ,7.8, ,43, ,6, ,39, ,3.9, ,77, ,10, ,190, , , ,30.17, , , , , ,30.2, ,AA, ,0.03, ,30.2, 
14739,20120501,554,11,OVC060, ,10, , ,,,,, ,47, ,8.3, ,44, ,6.7, ,41, ,5, ,80, ,13, ,160, , , ,30.17, , , , , ,30.19, ,AA, , , ,30.2, 
14739,20120501,654,11,OVC050, ,10, , ,,,,, ,47, ,8.3, ,45, ,7, ,42, ,5.6, ,83, ,15, ,150, , , ,30.14, ,8, ,13, ,30.17, ,AA, , , ,30.17, 
14739,20120501,754,11,OVC043, ,4, ,#NAME?,1,,1,, ,47, ,8.3, ,45, ,7.2, ,43, ,6.1, ,86, ,11, ,150, , , ,30.14, , , , , ,30.16, ,AA, ,0.04, ,30.17, 
14739,20120501,854,11,OVC041, ,3, ,#NAME?,1,,1,, ,47, ,8.3, ,45, ,7.2, ,43, ,6.1, ,86, ,15, ,140, , , ,30.13, , , , , ,30.16, ,AA, ,0.07, ,30.16, 
14739,20120501,904,11,BKN032 OVC042, ,2.5, ,RA BR,1,,1,, ,46, ,8, ,45, ,6.9, ,43, ,6, ,89, ,14, ,130, , , ,30.13, , , , , ,M, ,SP, , , ,30.16, 
14739,20120501,918,11,BKN030 OVC038, ,3, ,RA BR,1,,1,, ,46, ,8, ,46, ,7.5, ,45, ,7, ,96, ,15, ,130, , , ,30.12, , , , , ,M, ,SP, , , ,30.15, 
14739,20120501,928,11,FEW023 BKN030 OVC039, ,2.5, ,RA BR,1,,1,, ,46, ,8, ,46, ,7.5, ,45, ,7, ,96, ,18, ,130, , , ,30.11, , , , , ,M, ,SP, , , ,30.14, 
14739,20120501,954,11,FEW013 BKN028 OVC037, ,2.5, ,RA BR,1,,1,, ,47, ,8.3, ,46, ,7.5, ,44, ,6.7, ,89, ,20, ,140, ,25, ,30.09, ,8, ,18, ,30.12, ,AA, ,0.12, ,30.12, 
14739,20120501,1020,11,FEW009 SCT014 OVC022, ,2.5, ,RA BR,1,,1,, ,46, ,8, ,46, ,7.5, ,45, ,7, ,96, ,21, ,140, , , ,30.07, , , , , ,M, ,SP, , , ,30.1, 
14739,20120501,1029,11,SCT009 BKN014 OVC022, ,2.5, ,RA BR,1,,1,, ,46, ,8, ,46, ,7.5, ,45, ,7, ,96, ,20, ,130, , , ,30.06, , , , , ,M, ,SP, , , ,30.09, 
14739,20120501,1047,11,BKN009 OVC015, ,2.5, ,RA BR,1,,1,, ,46, ,8, ,46, ,7.5, ,45, ,7, ,96, ,22, ,130, , , ,30.05, , , , , ,M, ,SP, , , ,30.08, 
14739,20120501,1052,11,SCT009 OVC012, ,2.5, ,#NAME?,1,,1,, ,46, ,8, ,45, ,6.9, ,43, ,6, ,89, ,24, ,130, ,30, ,30.05, , , , , ,M, ,SP, , , ,30.08, 
14739,20120501,1054,11,SCT009 OVC012, ,2.5, ,#NAME?,1,,1,, ,46, ,7.8, ,45, ,6.9, ,43, ,6.1, ,89, ,24, ,140, ,30, ,30.05, , , , , ,30.07, ,AA, ,0.13, ,30.08, 
